weight,balanced_accuracy_score,geometric_mean_score,recall_score,AUC
1, 0.5121576938382508, 0.15767588818861467, 0.024875621890547265, 0.8876804738082916
2, 0.5397362631221174, 0.2884567560138099, 0.08354777834963116, 0.8878315288018129
3, 0.603706668658842, 0.4730960407968188, 0.22868416537999656, 0.8868874595561829
4, 0.6678627779835081, 0.6048297942448335, 0.3846285812317722, 0.8880080490925758
5, 0.7082479851159549, 0.673992886575078, 0.490650197289415, 0.8865588123181
6, 0.7379457272256417, 0.7192351604201632, 0.5728255275347401, 0.8864063371601913
7, 0.7582383172243248, 0.7478739989120429, 0.6332990221307256, 0.8867308942318272
8, 0.7738188250378123, 0.7682515862809979, 0.6811631497683994, 0.8866004260993873
9, 0.7868045927219511, 0.7840233098255939, 0.7207068107737176, 0.8862758568200347
10, 0.7944788045295922, 0.7932255318190623, 0.7498713329902214, 0.8861464953268117
11, 0.8003028484957765, 0.7998409769104573, 0.7731171727569052, 0.8853511089021783
12, 0.8030960027777602, 0.802962833337852, 0.7884714359238292, 0.8855842914073493
13, 0.8074467473970187, 0.807446510269387, 0.8068279293189227, 0.8854233969940886
14, 0.811879459664969, 0.8117967373461603, 0.8234688625836336, 0.8852754073001234
15, 0.8140664523645775, 0.8138025920344496, 0.8347915594441585, 0.8855443770177496
16, 0.8155999803231757, 0.8149663106114775, 0.847744038428547, 0.8854545468243464
17, 0.8164531854011667, 0.8155124408371869, 0.8556356150283068, 0.8852657961453106
18, 0.8174547774083518, 0.8160466877299886, 0.8654143077714874, 0.8856059736687967
19, 0.8186787816141188, 0.8169111380085525, 0.8724481043060559, 0.8851448221286211
20, 0.8175427648178382, 0.8153215888302768, 0.8777663407102418, 0.8855069898193006
21, 0.8179086351284001, 0.8152317137659189, 0.8840281351861383, 0.8851375982606489
22, 0.8188638172717821, 0.8156748025450674, 0.8910619317207068, 0.8857820455681839
23, 0.8184215413808302, 0.814757345026851, 0.8957797220792589, 0.8846089572301317
24, 0.8185728701759993, 0.8143237307881384, 0.901869960542117, 0.8846946724541073
25, 0.8164899031129247, 0.8119683407749673, 0.9022988505747126, 0.8854228176119738
26, 0.8175942441782584, 0.8124505281301232, 0.9091610910962429, 0.8855349082862993
27, 0.8186562430685359, 0.81302889297063, 0.9144793275004289, 0.8849986796753585
28, 0.8163331133991075, 0.8101278259193593, 0.9167953336764454, 0.8855997271932614
29, 0.816907359359212, 0.810171163808019, 0.9215989020415165, 0.885133735390262
30, 0.8162153306346078, 0.8091128662065832, 0.9236575741979757, 0.8850690786715372
